	ahya_10	ahya_112	ahya_11	ahya_125	ahya_12	ahya_130	ahya_139	ahya_13	ahya_141	ahya_147	ahya_14	ahya_156	ahya_15	ahya_16	ahya_17	ahya_19	ahya_1	ahya_20	ahya_21	ahya_22	ahya_23	ahya_24	ahya_25	ahya_26	ahya_27	ahya_28	ahya_29	ahya_2	ahya_31	ahya_32	ahya_3	ahya_4	ahya_6	ahya_7	ahya_8	ahya_9	ahya_W04	ahya_W05	ahya_W06	ahya_W08	ahya_W10	ahya_W12	ahya_W14	ahya_W15	ahya_W16	ahya_W17	ahya_W18	ahya_W19	ahya_W24	ahya_W27	ahya_W29	ahya_W35	ahya_W38
ahya_10	0	0.1301	0.1219	0.127	0.1279	0.1243	0.1297	0.1813	0.1235	0.1241	0.181	0.1199	0.1248	0.1209	0.123	0.1231	0.1162	0.1256	0.1234	0.132	0.1187	0.1256	0.127	0.1258	0.1223	0.1242	0.1223	0.1179	0.1209	0.1218	0.1241	0.1274	0.1309	0.1342	0.1339	0.1231	0.1223	0.1227	0.1255	0.1244	0.1239	0.1267	0.1216	0.1224	0.1269	0.1212	0.127	0.1269	0.1213	0.1224	0.1231	0.118	0.1202
ahya_112	0.1301	0	0.1238	0.1265	0.1291	0.1241	0.0034	0.1817	0.1217	0.1234	0.1825	0.1259	0.125	0.1241	0.122	0.1219	0.1191	0.1285	0.1237	0.1362	0.1169	0.1234	0.1263	0.124	0.1264	0.1255	0.1252	0.1208	0.1199	0.12	0.1228	0.1281	0.1273	0.1284	0.132	0.1185	0.1235	0.1209	0.1234	0.1224	0.126	0.1306	0.1169	0.1233	0.1251	0.1183	0.1271	0.127	0.1214	0.1272	0.1216	0.1214	0.1187
ahya_11	0.1219	0.1238	0	0.1203	0.1276	0.1204	0.1244	0.1815	0.1234	0.1223	0.1799	0.1198	0.1237	0.1236	0.1235	0.1261	0.1197	0.1272	0.1199	0.1302	0.1148	0.1228	0.1267	0.12	0.1215	0.1237	0.1241	0.1191	0.115	0.1216	0.1169	0.1223	0.1269	0.1287	0.1295	0.1192	0.123	0.1227	0.1266	0.12	0.1222	0.1223	0.1198	0.1238	0.1225	0.1182	0.1298	0.1298	0.1218	0.1201	0.12	0.1188	0.1226
ahya_125	0.127	0.1265	0.1203	0	0.1212	0.1224	0.1263	0.1793	0.1223	0.1251	0.179	0.1194	0.1196	0.1234	0.1209	0.1219	0.1172	0.125	0.1174	0.127	0.1117	0.1217	0.1216	0.1216	0.121	0.1198	0.1152	0.1205	0.1208	0.119	0.1171	0.1221	0.1272	0.1266	0.1284	0.1166	0.1183	0.1185	0.1205	0.1183	0.1223	0.1241	0.1155	0.1188	0.1202	0.1166	0.1275	0.1273	0.1201	0.1215	0.1194	0.1166	0.1218
ahya_12	0.1279	0.1291	0.1276	0.1212	0	0.1259	0.1284	0.1825	0.1217	0.1269	0.183	0.1261	0.1225	0.1296	0.1256	0.1248	0.1209	0.1277	0.1253	0.1318	0.1223	0.1273	0.1241	0.124	0.1219	0.1255	0.1292	0.1211	0.1221	0.1216	0.1203	0.1236	0.1268	0.1311	0.1346	0.1171	0.1215	0.1273	0.1247	0.1227	0.1229	0.1245	0.1228	0.1234	0.1282	0.1191	0.1262	0.1262	0.1245	0.1266	0.1224	0.1222	0.1242
ahya_130	0.1243	0.1241	0.1204	0.1224	0.1259	0	0.1243	0.1836	0.1225	0.1231	0.1825	0.1206	0.1203	0.1219	0.1237	0.1194	0.1174	0.1241	0.1228	0.1309	0.1143	0.1245	0.1232	0.1215	0.1192	0.1248	0.1245	0.1194	0.1201	0.1178	0.1191	0.1256	0.1277	0.1264	0.1291	0.1171	0.1201	0.1227	0.1261	0.1209	0.1219	0.1234	0.1166	0.1202	0.1224	0.1189	0.1255	0.1255	0.1209	0.1286	0.1163	0.1169	0.1191
ahya_139	0.1297	0.0034	0.1244	0.1263	0.1284	0.1243	0	0.1819	0.1223	0.1237	0.1827	0.126	0.1238	0.1241	0.1218	0.1217	0.1183	0.1286	0.1229	0.136	0.1167	0.1228	0.1256	0.1236	0.1259	0.1245	0.1254	0.1205	0.1202	0.1201	0.1218	0.1281	0.1267	0.1287	0.1322	0.1176	0.123	0.1205	0.1235	0.1223	0.1255	0.1311	0.1163	0.1232	0.1245	0.1188	0.1272	0.1269	0.121	0.127	0.122	0.121	0.1187
ahya_13	0.1813	0.1817	0.1815	0.1793	0.1825	0.1836	0.1819	0	0.1775	0.1845	0.0106	0.1833	0.18	0.1821	0.1827	0.181	0.1779	0.1852	0.18	0.1557	0.1751	0.1837	0.1835	0.1813	0.1809	0.1819	0.1814	0.1795	0.1782	0.1753	0.1794	0.1852	0.1852	0.1908	0.1605	0.176	0.1783	0.1814	0.1809	0.1787	0.1826	0.1819	0.1769	0.1812	0.1862	0.1744	0.1909	0.1907	0.1781	0.1864	0.1818	0.1756	0.1808
ahya_141	0.1235	0.1217	0.1234	0.1223	0.1217	0.1225	0.1223	0.1775	0	0.1266	0.177	0.1228	0.1198	0.1196	0.1198	0.116	0.1173	0.1255	0.12	0.1307	0.1146	0.1212	0.1209	0.1241	0.1164	0.1205	0.118	0.1203	0.116	0.1167	0.1208	0.1216	0.1213	0.128	0.127	0.1179	0.1184	0.1206	0.1275	0.1209	0.1219	0.1229	0.1192	0.1178	0.127	0.1159	0.1265	0.1265	0.1228	0.1236	0.1165	0.1211	0.1187
ahya_147	0.1241	0.1234	0.1223	0.1251	0.1269	0.1231	0.1237	0.1845	0.1266	0	0.183	0.1203	0.1214	0.1276	0.1255	0.1199	0.1166	0.1257	0.1203	0.1306	0.1165	0.1224	0.1245	0.121	0.1217	0.1198	0.1258	0.1209	0.1185	0.1173	0.1209	0.1259	0.1262	0.1237	0.1263	0.1199	0.1226	0.1211	0.1283	0.1212	0.1205	0.1249	0.1187	0.1205	0.1209	0.1208	0.1281	0.1279	0.1241	0.1225	0.1213	0.1225	0.1166
